uniprot_id	bulk_abundance	new_single_cell_F1	new_single_cell_F3	new_single_cell_F5	new_single_cell_F7	new_single_cell_F9	new_single_cell_F11	new_single_cell_F13	new_single_cell_F15	new_single_cell_F17	new_single_cell_F19	old_single_cell_F3	old_single_cell_F4	old_single_cell_F5	query_id	score
A0A087WZZ3	389.480767187281	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZZ3	1.0
A0A087WZZ5	983196.676934262	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZZ5	0.0
A0A087X033	10775.6882665756	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X033	1.0
A0A087X082	6096.85150071692	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X082	0.0
A0A087X090	1443260.90683532	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X090	1.0
A0A087X0B4	454.407655317033	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0B4	1.0
A0A087X0F7	3598.15821924274	False	False	False	False	False	False	False	False	False	False	False	False	False	Q9H4K1	3.0
A0A087X0H8	305642.491320196	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0H8	1.0
A0A087X0H9	253970.416343754	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0H9	2.0
A0A087X0I4	771.097632268787	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0I4	0.0
A0A087X0J4	2516.85919792525	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0J4	1.0
A0A087X0K1	281430.410153482	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0K1	0.0
A0A087X0K9	98.8433180364031	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0K9	4.0
A0A087X0M4	105593.228501368	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0M4	2.0
A0A087X0N3	3418.00433808707	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0N3	2.0
A0A087X0Q1	250333.635939783	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0Q1	1.0
A0A087X0R0	973.606854023475	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0R0	3.0
A0A087X0R6	1517550.20274555	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0R6	1.0
A0A087X0W2	323.362718387241	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0W2	0.0
A0A087X0W3	5407.81189911338	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0W3	2.0
A0A087X0W9	190142.618494317	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0W9	2.0
